Muni Code,TreasuryCode,Municipality Name,MuniType,County,Record ID,Block,Lot,Permit Number,Status,Permit Status Description,Permit Date,Certificate Date,Permit Type,Permit Type Description,Update,Certificate Type,Certificate Type Description,Certificate Count,Building Fee,Plumbing Fee,Electrical Fee,Fire Fee,DCA Fee,Certificate Fee,Elevator Fee,Other Fee,Total Fee,Volume,Square Feet,Construction Cost,Sale Units Gained,Rental Units Gained,Use Group,Use Group Description,Census Item Number,Census Item Number Description,Public,Storage,Manufactured,Hud Seal,Source,Source Description,Version,Process Date,PK
0906,0906,JERSEY CITY,CITY,HUDSON,00055155,17905,8.02,20220398,P,Permit,02/03/2022,,04,New,,,,0,1053,1470,605,85,145,0,0,0,3358,39000,3600,387000,2,0,R-3,"One and two family units, 5 lodgers or less each",101,Single-Family Detached NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055155
0906,0906,JERSEY CITY,CITY,HUDSON,00055168,11403,25,20213412+B,P,Permit,02/09/2022,,04,New,X,,,0,2199,3150,1245,151,302,0,0,0,7047,81445,7698,1263000,4,0,R-2,"Multiple family dwellings, dormitories, etc.",104,3 & 4 Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,05/19/2022,090600055168
0906,0906,JERSEY CITY,CITY,HUDSON,00055180,10502,25,20220402,P,Permit,02/03/2022,,04,New,,,,0,783,0,685,100,108,0,0,0,1676,29000,8500,268000,3,0,R-5,International Residential Code,105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055180
0906,0906,JERSEY CITY,CITY,HUDSON,00055187,24201,57,20211353+B,P,Permit,02/16/2022,,04,New,X,,,0,50,0,0,0,0,0,0,0,50,0,0,10000,0,0,R-5,International Residential Code,999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055187
0906,0906,JERSEY CITY,CITY,HUDSON,00055199,16703,8.01,20220568,P,Permit,02/17/2022,,04,New,,,,0,0,0,0,0,0,0,0,0,0,1100000,90504,3950000,92,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055199
0906,0906,JERSEY CITY,CITY,HUDSON,00055204,12106,13,20220634,P,Permit,02/23/2022,,04,New,,,,0,1883,3390,1700,200,259,0,0,0,7432,69725,6803,770000,9,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,04/21/2022,090600055204
0906,0906,JERSEY CITY,CITY,HUDSON,00055228,5401,17,20220369,P,Permit,02/02/2022,,04,New,,,,0,7695,8630,0,515,1057,0,0,0,17897,285000,26996,1230000,28,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055228
0906,0906,JERSEY CITY,CITY,HUDSON,00055229,11209,7,20200450+E,P,Permit,02/09/2022,,04,New,X,,,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,R-2,"Multiple family dwellings, dormitories, etc.",104,3 & 4 Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,03/07/2022,090600055229
0906,0906,JERSEY CITY,CITY,HUDSON,00055347,5401,17,20220369+E,P,Permit,03/23/2022,,04,New,X,,,0,50,0,0,0,0,0,0,0,50,0,0,12000,0,0,R-2,"Multiple family dwellings, dormitories, etc.",999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,04/07/2022,090600055347
0906,0906,JERSEY CITY,CITY,HUDSON,00055393,19501,26,20220972,P,Permit,03/23/2022,,04,New,,,,0,698,1620,645,105,96,0,0,0,3164,25838,2280,157500,3,0,R-2,"Multiple family dwellings, dormitories, etc.",105,5+ Family Buildings NEW,,,,,SDL,Spatial Data Logic,002,04/07/2022,090600055393
0906,0906,JERSEY CITY,CITY,HUDSON,00055396,23001,36,20220971,P,Permit,03/23/2022,,04,New,,,,0,2220,2870,905,98,305,0,0,0,6398,82236,9804,295500,4,0,R-2,"Multiple family dwellings, dormitories, etc.",999,Out of Scope OTHER,,,,,SDL,Spatial Data Logic,002,04/07/2022,090600055396
